lemma,length,suffix_2,suffix_3,suffix_4,prefix_2,prefix_3,prefix_4,projection_x,projection_y,article
binnenmilieu,12,eu,ieu,lieu,bi,bin,binn,10.161087,8.635963,het
dier,4,er,ier,dier,di,die,dier,11.84837,6.3131204,both
vloerbedekking,14,ng,ing,king,vl,vlo,vloe,8.14396,6.886909,de
tapijt,6,jt,ijt,pijt,ta,tap,tapi,10.920506,7.398001,both
larv,4,rv,arv,larv,la,lar,larv,13.109566,7.210563,de
levenscyclus,12,us,lus,clus,le,lev,leve,7.388542,8.02203,de
garantie,8,ie,tie,ntie,ga,gar,gara,10.772965,11.128599,de
zonlicht,8,ht,cht,icht,zo,zon,zonl,9.629047,5.2196875,het
rusthuisdagprijs,16,js,ijs,rijs,ru,rus,rust,6.102605,7.106668,de
telefoonabonnement,18,nt,ent,ment,te,tel,tele,8.274446,10.871441,het
bedlinnen,9,en,nen,nnen,be,bed,bedl,6.949667,6.917063,het
meesten,7,en,ten,sten,me,mee,mees,10.979915,9.740862,de
rusthuis,8,is,uis,huis,ru,rus,rust,7.454245,7.5111494,het
inkomen,7,en,men,omen,in,ink,inko,8.710357,13.060834,het
uitkering,9,ng,ing,ring,ui,uit,uitk,10.765033,9.315808,de
zorgverzekering,15,ng,ing,ring,zo,zor,zorg,3.0852652,8.538216,de
inkomst,7,st,mst,omst,in,ink,inko,8.707831,13.087995,de
vzwrusthuizen,13,en,zen,izen,vz,vzw,vzwr,9.455642,7.6420765,de
dagprijs,8,js,ijs,rijs,da,dag,dagp,6.0204425,7.089208,de
BodyPercussieworkshop,21,op,hop,shop,bo,bod,body,10.435898,6.908895,de
djembé,6,bé,mbé,embé,dj,dje,djem,12.943644,7.436662,de
zaalhuur,8,ur,uur,huur,za,zaa,zaal,13.210858,6.909627,de
activiteit,10,it,eit,teit,ac,act,acti,10.680355,10.81048,de
praktijk,8,jk,ijk,tijk,pr,pra,prak,6.9352775,10.810365,de
vakbeweging,11,ng,ing,ging,va,vak,vakb,9.602582,13.793125,de
regel,5,el,gel,egel,re,reg,rege,10.854212,10.7957535,de
lidstaat,8,at,aat,taat,li,lid,lids,10.618246,12.958432,de
middel,6,el,del,ddel,mi,mid,midd,8.717565,6.138492,both
net,3,et,net,net,ne,net,net,9.10693,10.596167,het
technologie,11,ie,gie,ogie,te,tec,tech,8.530216,10.351669,de
geluid,6,id,uid,luid,ge,gel,gelu,15.945306,12.61744,both
ervaring,8,ng,ing,ring,er,erv,erva,10.160522,10.864625,de
actie,5,ie,tie,ctie,ac,act,acti,10.871848,11.033949,de
audio,5,io,dio,udio,au,aud,audi,15.857191,12.518201,de
surround-geluidssysteem,23,em,eem,teem,su,sur,surr,10.085946,7.7283263,het
surround,8,nd,und,ound,su,sur,surr,9.230868,7.768877,het
video,5,eo,deo,ideo,vi,vid,vide,14.41758,13.165057,de
overeenkomst,12,st,mst,omst,ov,ove,over,10.666325,11.148473,de
helikopter,10,er,ter,pter,he,hel,heli,9.128538,4.615893,de
luidspreker,11,er,ker,eker,lu,lui,luid,15.952573,12.623727,de
geluidstechnicus,16,us,cus,icus,ge,gel,gelu,15.951599,12.617598,de
dolby-systeem,13,em,eem,teem,do,dol,dolb,9.340709,10.284466,het
volume,6,me,ume,lume,vo,vol,volu,9.580912,9.100936,both
diffusie,8,ie,sie,usie,di,dif,diff,11.273198,8.926044,de
basis,5,is,sis,asis,ba,bas,basi,10.179524,9.557915,de
film,4,lm,ilm,film,fi,fil,film,14.354033,12.65218,both
dolby-software,14,re,are,ware,do,dol,dolb,9.390447,10.784676,de
beweging,8,ng,ing,ging,be,bew,bewe,10.123459,8.556508,de
object,6,ct,ect,ject,ob,obj,obje,11.243711,10.318234,both
knie,4,ie,nie,knie,kn,kni,knie,10.687272,7.353947,de
Atmos-geluid,12,id,uid,luid,at,atm,atmo,8.840892,4.700379,het
overhead,8,ad,ead,head,ov,ove,over,9.461418,8.132515,de
dak,3,ak,dak,dak,da,dak,dak,12.06443,7.697457,both
koning,6,ng,ing,ning,ko,kon,koni,13.853739,9.493024,de
inhoudsconsumptie,17,ie,tie,ptie,in,inh,inho,12.279418,12.127007,de
audiokwaliteit,14,it,eit,teit,au,aud,audi,15.9405,12.602534,de
